scope,direction,metric,value,status,details,checkpoint_sha256,data_manifest_sha256
training,identity_photo_l1,losses_final_update,0.046024106442928314,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,identity_monet_l1,losses_mean,0.08078005357954347,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,identity_monet_l1,losses_final_update,0.03037703037261963,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,generator_total,losses_mean,4.023223067538865,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,generator_total,losses_final_update,3.0848381519317627,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,discriminator_photo,losses_mean,0.15495316686224958,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,discriminator_photo,losses_final_update,0.1359080821275711,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,discriminator_monet,losses_mean,0.11462706240958165,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,discriminator_monet,losses_final_update,0.12188326567411423,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,G_photo_to_monet,gradient_norms_mean,29.01480679469348,computed,"{""count"": 168720, ""definition"": ""Raw per-update values; final update need not be the validation-selected checkpoint""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
